Time(s),é≤Ç–Ç∏Ç›(ñ≥éüå≥)xëùïùåWêî,é¿å¯ÇÃïΩãœëYê´Ç–Ç∏Ç›(%),é¿å¯ÇÃó›êœëYê´Ç–Ç∏Ç›(%),ê‚ëŒílç≈ëÂé≤Ç–Ç∏Ç›(%),çúäiî‰,îÊòJîjâÛÇ™ê∂Ç∂ÇÈó›êœëYê´Ç–Ç∏Ç›(%),îªíË(1:îÊòJîjâÛ),É}ÉCÉiÅ[ë•Ç≈ï]âøÇµÇΩéûÇÃëπèùìxD
8.49,0.00014194,0.0,0.0,0.1031911,0.0,99999999999.9,0,0.0
10.71,0.001037055,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
10.8,0.001025369,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
10.84,0.001033127,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
10.9,0.001025369,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
10.94,0.001033127,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
10.98,0.001021537,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.02,0.001029296,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.03,0.001025369,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.1,0.001033127,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.13,0.0010292,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.14,0.001033127,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.18,0.001029296,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.2,0.001036959,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.22,0.001033127,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.23,0.001036959,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.31,0.0010292,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.32,0.001037055,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.35,0.001029296,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.38,0.001037055,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.42,0.001029296,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.44,0.001036959,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.46,0.001033127,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.47,0.001037055,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.49,0.001033127,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.5,0.001036959,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.52,0.001033127,0.0,0.0,0.1037055,0.0,99999999999.9,0,0.0
11.55,0.001040886,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
11.67,0.001029296,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
11.69,0.001033127,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
11.71,0.001029296,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
11.76,0.001037055,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
11.78,0.001033127,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
11.8,0.001036959,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
11.82,0.001029296,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
11.84,0.001036959,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
11.86,0.001029296,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
11.88,0.001033127,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
11.9,0.001029296,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
11.91,0.001033127,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
11.93,0.001029296,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
11.96,0.001037055,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
12.01,0.001029296,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
12.03,0.001036959,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
12.36,0.000955637,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
12.37,0.000959564,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
14.1,0.000308606,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
14.11,0.000312533,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
15.53,-0.000222141,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
15.56,-0.000218309,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
16.25,-0.000474057,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
16.26,-0.000470225,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
16.96,-0.000706528,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
16.99,-0.000706432,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
17.92,-0.001031911,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
17.95,-0.001024152,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.0,-0.001031911,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.03,-0.001027984,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.07,-0.001035838,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.08,-0.001031911,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.15,-0.001035838,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.16,-0.001031911,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.25,-0.001035838,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.26,-0.001027984,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.31,-0.001035838,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.35,-0.001031911,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.38,-0.001035742,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.41,-0.001027984,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.46,-0.00103967,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.48,-0.001031911,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.5,-0.001035838,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.58,-0.001027984,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.67,-0.001031911,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.7,-0.001024152,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.75,-0.001035838,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.78,-0.001031911,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
18.8,-0.001035838,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
22.57,0.000451997,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
22.58,0.000451901,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
23.28,0.000711576,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
23.29,0.000707744,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
23.83,0.000920771,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
23.84,0.00091694,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.09,0.001009851,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.1,0.001002093,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.14,0.001009851,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.15,0.001002093,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.16,0.001005924,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.25,0.000998261,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.28,0.00100602,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.3,0.001002093,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.37,0.00100602,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.42,0.000998261,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.44,0.001002093,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.47,0.000998261,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.49,0.001005924,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.54,0.000998261,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.59,0.001002189,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.61,0.001002093,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.67,0.00100602,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.73,0.000998261,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.76,0.001002189,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.79,0.000998261,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.81,0.00100602,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.87,0.000998261,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
24.92,0.001005924,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
25.0,0.000990599,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
25.02,0.00099443,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
26.93,0.000351231,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
26.95,0.000355062,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
27.43,0.000184564,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
27.44,0.00018466,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
28.07,-4.79e-05,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
28.08,-4.78e-05,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
29.18,-0.000423673,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
29.19,-0.000423578,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
30.32,-0.00078785,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
30.33,-0.000784018,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
30.4,-0.000811125,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
30.41,-0.000807198,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
30.89,-0.000973865,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
30.9,-0.000969938,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.06,-0.001000972,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.07,-0.000997141,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.08,-0.001000972,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.15,-0.000989382,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.19,-0.000997045,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.2,-0.000993214,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.23,-0.001000972,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.24,-0.000997045,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.26,-0.001000876,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.28,-0.000997045,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.31,-0.001000972,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.33,-0.000993214,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.39,-0.000997045,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.42,-0.000989382,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.43,-0.000993214,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.45,-0.000989382,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.47,-0.000993214,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.52,-0.000989382,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.56,-0.001000972,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.58,-0.000997141,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.61,-0.001000972,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.64,-0.000993214,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.69,-0.001004804,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.78,-0.000989382,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
31.79,-0.000993214,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
32.03,-0.000900206,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
32.04,-0.000904037,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
32.18,-0.000842064,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
32.19,-0.000845896,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
33.14,-0.000501068,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
33.15,-0.000501164,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
33.31,-0.000446853,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
33.32,-0.000450781,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
33.41,-0.000408156,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
33.45,-0.000411988,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
33.52,-0.000392639,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
33.53,-0.000396566,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
34.69,2.19e-05,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
34.7,1.81e-05,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
35.75,0.000374507,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
35.76,0.000370579,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
36.83,0.000719238,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
36.84,0.000715407,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
36.9,0.000742514,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
36.91,0.000738683,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
37.3,0.000870484,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
37.32,0.000866556,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
37.5,0.000932457,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
37.51,0.00092853,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
37.72,0.000990503,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
37.76,0.000986671,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
37.81,0.00099443,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
37.89,0.000990503,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
37.9,0.000994334,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
37.96,0.00098284,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
37.97,0.000986671,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
37.99,0.00098284,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
38.05,0.00099443,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
38.09,0.000990503,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
38.11,0.000994334,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
38.14,0.000986576,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
38.17,0.000998261,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
38.2,0.000994334,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
38.25,0.000998261,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
38.33,0.000986671,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
38.37,0.000990503,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
38.41,0.00098284,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
38.42,0.000986671,0.0,0.0,0.1040886,0.0,99999999999.9,0,0.0
42.21,-0.001400014,0.0,0.2386685,0.1400014,0.0,99999999999.9,0,0.0
42.25,-0.001338041,0.002743899999999998,0.2448658,0.1400014,0.5717474633043896,60.870214550398536,0,2.3771834494444194e-06
42.26,-0.001341873,0.0,0.24524899999999997,0.1400014,0.0,99999999999.9,0,0.0
42.29,-0.001338041,0.0,0.24563219999999994,0.1400014,0.0,99999999999.9,0,0.0
42.34,-0.0013458,0.0,0.24640809999999994,0.1400014,0.0,99999999999.9,0,0.0
42.35,-0.001341873,0.0,0.24680079999999996,0.1400014,0.0,99999999999.9,0,0.0
46.49,-0.005049727,0.0777439,0.6175862,0.5049727,0.8176554139325005,42.52357897277951,0,0.000263968983430002
46.56,-0.005041968,0.0777439,0.6183621,0.5049727,0.8166294473739578,42.57507244376998,0,0.000263968983430002
46.64,-0.005057485,0.0,0.6199138,0.5057484999999999,0.0,99999999999.9,0,0.0
46.69,-0.005053654,0.0,0.6202968999999999,0.5057484999999999,0.0,99999999999.9,0,0.0
46.77,-0.005115627,0.0,0.6264941999999999,0.5115627,0.0,99999999999.9,0,0.0
46.86,-0.005107773,0.0,0.6272795999999998,0.5115627,0.0,99999999999.9,0,0.0
46.87,-0.0051117,0.0,0.6276722999999998,0.5115627,0.0,99999999999.9,0,0.0
46.89,-0.005107869,0.0,0.6280553999999998,0.5115627,0.0,99999999999.9,0,0.0
46.91,-0.005115627,0.0,0.6288311999999998,0.5115627,0.0,99999999999.9,0,0.0
46.98,-0.005100014,0.0,0.6303924999999998,0.5115627,0.0,99999999999.9,0,0.0
46.99,-0.005103941,0.0,0.6307851999999998,0.5115627,0.0,99999999999.9,0,0.0
47.03,-0.005100014,0.0,0.6311778999999998,0.5115627,0.0,99999999999.9,0,0.0
47.11,-0.005107869,0.0,0.6319633999999998,0.5115627,0.0,99999999999.9,0,0.0
54.71,0.005170771,0.0,1.6598274,0.5170771000000001,0.0,99999999999.9,0,0.0
54.76,0.005166939,0.40274390000000015,1.6602106,0.5170771000000001,0.311452715697635,99.57228425169062,0,0.0026773026928292084
54.8,0.005182457,0.40274390000000015,1.6617624000000002,0.5182456999999999,0.31186510177387566,99.46238184968702,0,0.0026773026928292084
54.82,0.005178529,0.1527439,1.6621552000000002,0.5182456999999999,0.31179140191000204,103.32642744501081,0,0.0006833576235020938
54.86,0.00519012,0.1527439,1.6633143000000001,0.519012,0.31203483310400204,103.25512762522963,0,0.0006833576235020938
54.87,0.005186288,0.1527439,1.6636975000000003,0.519012,0.31196296201683293,103.27616807983814,0,0.0006833576235020938
54.93,0.005194047,0.1527439,1.6644734000000003,0.5194047,0.31205346988422883,103.24967305725718,0,0.0006833576235020938
54.94,0.00519012,0.1527439,1.6648661000000002,0.5194047,0.3119798643266266,103.27121911192278,0,0.0006833576235020938
54.97,0.005197974,0.1527439,1.6656515000000003,0.5197974,0.3120685209361021,103.24526837224614,0,0.0006833576235020938
55.0,0.005194047,0.1527439,1.6660442000000002,0.5197974,0.3119949638791095,103.2667983894245,0,0.0006833576235020938
55.04,0.005232744,0.1527439,1.6699139000000003,0.5232744,0.3133541196345512,102.87042032114273,0,0.0006833576235020938
