Step,Iteration,Increment(mm),Step,LoadingHysteresis,D(mm),Q(kN),k(N/mm),deltaD(mm),lastD(mm),lastQ(kN),stage,
           1,          46,       0.6000000000000000,       0.1533333333333332,      27.6000000000000227,     0.13800E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.13800E+01,     0.50000E+02,           2,
           1,          47,       0.6000000000000000,       0.1566666666666665,      28.2000000000000242,     0.14100E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.14100E+01,     0.50000E+02,           2,
           1,          48,       0.6000000000000000,       0.1599999999999998,      28.8000000000000256,     0.14400E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.14400E+01,     0.50000E+02,           2,
           1,          49,       0.6000000000000000,       0.1633333333333332,      29.4000000000000270,     0.14700E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.14700E+01,     0.50000E+02,           2,
           1,          50,       0.6000000000000000,       0.1666666666666665,      30.0000000000000284,     0.15000E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.15000E+01,     0.50000E+02,           2,
           1,          51,       0.6000000000000000,       0.1699999999999998,      30.6000000000000298,     0.15300E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.15300E+01,     0.50000E+02,           2,
           1,          52,       0.6000000000000000,       0.1733333333333331,      31.2000000000000313,     0.15600E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.15600E+01,     0.50000E+02,           2,
           1,          53,       0.6000000000000000,       0.1766666666666665,      31.8000000000000327,     0.15900E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.15900E+01,     0.50000E+02,           2,
           1,          54,       0.6000000000000000,       0.1799999999999998,      32.4000000000000341,     0.16200E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.16200E+01,     0.50000E+02,           2,
           1,          55,       0.6000000000000000,       0.1833333333333331,      33.0000000000000355,     0.16500E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.16500E+01,     0.50000E+02,           2,
           1,          56,       0.6000000000000000,       0.1866666666666665,      33.6000000000000369,     0.16800E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.16800E+01,     0.50000E+02,           2,
           1,          57,       0.6000000000000000,       0.1899999999999998,      34.2000000000000384,     0.17100E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.17100E+01,     0.50000E+02,           2,
           1,          58,       0.6000000000000000,       0.1933333333333331,      34.8000000000000398,     0.17400E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.17400E+01,     0.50000E+02,           2,
           1,          59,       0.6000000000000000,       0.1966666666666664,      35.4000000000000412,     0.17700E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.17700E+01,     0.50000E+02,           2,
           1,          60,       0.6000000000000000,       0.1999999999999998,      36.0000000000000426,     0.18000E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.18000E+01,     0.50000E+02,           2,
           1,          61,       0.6000000000000000,       0.2033333333333331,      36.6000000000000441,     0.18300E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.18300E+01,     0.50000E+02,           2,
           1,          62,       0.6000000000000000,       0.2066666666666664,      37.2000000000000455,     0.18600E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.18600E+01,     0.50000E+02,           2,
           1,          63,       0.6000000000000000,       0.2099999999999997,      37.8000000000000469,     0.18900E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.18900E+01,     0.50000E+02,           2,
           1,          64,       0.6000000000000000,       0.2133333333333331,      38.4000000000000483,     0.19200E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.19200E+01,     0.50000E+02,           2,
           1,          65,       0.6000000000000000,       0.2166666666666664,      39.0000000000000497,     0.19500E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.19500E+01,     0.50000E+02,           2,
           1,          66,       0.6000000000000000,       0.2199999999999997,      39.6000000000000512,     0.19800E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.19800E+01,     0.50000E+02,           2,
           1,          67,       0.6000000000000000,       0.2233333333333331,      40.2000000000000526,     0.20100E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.20100E+01,     0.50000E+02,           2,
           1,          68,       0.6000000000000000,       0.2266666666666664,      40.8000000000000540,     0.20400E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.20400E+01,     0.50000E+02,           2,
