Step,Iteration,Increment(mm),Step,LoadingHysteresis,D(mm),Q(kN),k(N/mm),deltaD(mm),lastD(mm),lastQ(kN),stage,
           1,          75,       5.5555555555555562,       0.2499999999999997,     416.6666666666660603,     0.25000E+01,     0.60002E+01,     0.10000E+00,     0.33333E-01,     0.25000E+01,     0.60002E+01,           2,
           1,          76,      -5.5555555555548608,       0.2533333333333330,     411.1111111111111995,     0.24667E+01,     0.60002E+01,     0.10000E+00,    -0.33333E-01,     0.24667E+01,     0.60002E+01,           2,
           1,          77,      27.7777777777777146,       0.2566666666666664,     438.8888888888889142,     0.26333E+01,     0.60003E+01,     0.10000E+00,     0.16667E+00,     0.26333E+01,     0.60003E+01,           2,
           1,          78,     -16.6666666666666288,       0.2599999999999997,     422.2222222222222854,     0.25333E+01,     0.60003E+01,     0.10000E+00,    -0.10000E+00,     0.25333E+01,     0.60003E+01,           2,
           1,          79,      27.7777777777777715,       0.2633333333333331,     450.0000000000000568,     0.27000E+01,     0.60003E+01,     0.10000E+00,     0.16667E+00,     0.27000E+01,     0.60003E+01,           2,
           1,          80,     -16.6666666666666288,       0.2666666666666664,     433.3333333333334281,     0.26000E+01,     0.60003E+01,     0.10000E+00,    -0.10000E+00,     0.26000E+01,     0.60003E+01,           2,
           1,          81,      27.7777777777777146,       0.2699999999999998,     461.1111111111111427,     0.27667E+01,     0.60003E+01,     0.10000E+00,     0.16667E+00,     0.27667E+01,     0.60003E+01,           2,
           1,          82,     -16.6666666666666288,       0.2733333333333332,     444.4444444444445139,     0.26667E+01,     0.60003E+01,     0.10000E+00,    -0.10000E+00,     0.26667E+01,     0.60003E+01,           2,
           1,          83,      27.7777777777777146,       0.2766666666666665,     472.2222222222222285,     0.28333E+01,     0.60003E+01,     0.10000E+00,     0.16667E+00,     0.28333E+01,     0.60003E+01,           2,
           1,          84,     -16.6666666666665719,       0.2799999999999999,     455.5555555555556566,     0.27333E+01,     0.60003E+01,     0.10000E+00,    -0.10000E+00,     0.27333E+01,     0.60003E+01,           2,
           1,          85,      27.7777777777777146,       0.2833333333333332,     483.3333333333333712,     0.29000E+01,     0.60003E+01,     0.10000E+00,     0.16667E+00,     0.29000E+01,     0.60003E+01,           2,
           1,          86,     -16.6666666666666288,       0.2866666666666666,     466.6666666666667425,     0.28000E+01,     0.60003E+01,     0.10000E+00,    -0.10000E+00,     0.28000E+01,     0.60003E+01,           2,
           1,          87,      27.7777777777777146,       0.2899999999999999,     494.4444444444444571,     0.29667E+01,     0.60003E+01,     0.10000E+00,     0.16667E+00,     0.29667E+01,     0.60003E+01,           2,
           1,          88,     -16.6666666666665719,       0.2933333333333333,     477.7777777777778851,     0.28667E+01,     0.60003E+01,     0.10000E+00,    -0.10000E+00,     0.28667E+01,     0.60003E+01,           2,
           1,          89,      27.7777777777777146,       0.2966666666666666,     505.5555555555555998,     0.30333E+01,     0.60003E+01,     0.10000E+00,     0.16667E+00,     0.30333E+01,     0.60003E+01,           2,
           1,          90,     -16.6666666666666288,       0.3000000000000000,     488.8888888888889710,     0.29333E+01,     0.60003E+01,     0.10000E+00,    -0.10000E+00,     0.29333E+01,     0.60003E+01,           2,
           1,          91,      27.7777777777777715,       0.3033333333333333,     516.6666666666667425,     0.31000E+01,     0.60003E+01,     0.10000E+00,     0.16667E+00,     0.31000E+01,     0.60003E+01,           2,
           1,          92,     -16.6666666666666288,       0.3066666666666667,     500.0000000000001137,     0.30000E+01,     0.60003E+01,     0.10000E+00,    -0.10000E+00,     0.30000E+01,     0.60003E+01,           2,
           1,          93,      27.7777777777777146,       0.3100000000000001,     527.7777777777778283,     0.31667E+01,     0.60003E+01,     0.10000E+00,     0.16667E+00,     0.31667E+01,     0.60003E+01,           2,
           1,          94,     -16.6666666666666288,       0.3133333333333334,     511.1111111111111995,     0.30667E+01,     0.60003E+01,     0.10000E+00,    -0.10000E+00,     0.30667E+01,     0.60003E+01,           2,
           1,          95,      27.7777777777777146,       0.3166666666666668,     538.8888888888889142,     0.32333E+01,     0.60003E+01,     0.10000E+00,     0.16667E+00,     0.32333E+01,     0.60003E+01,           2,
           1,          96,     -16.6666666666666288,       0.3200000000000001,     522.2222222222222854,     0.31333E+01,     0.60003E+01,     0.10000E+00,    -0.10000E+00,     0.31333E+01,     0.60003E+01,           2,
           1,          97,      27.7777777777777146,       0.3233333333333335,     550.0000000000000000,     0.33000E+01,     0.60003E+01,     0.10000E+00,     0.16667E+00,     0.33000E+01,     0.60003E+01,           2,
           1,          98,     -16.6666666666666288,       0.3266666666666668,     533.3333333333333712,     0.32000E+01,     0.60003E+01,     0.10000E+00,    -0.10000E+00,     0.32000E+01,     0.60003E+01,           2,
           1,          99,      27.7777777777778283,       0.3300000000000002,     561.1111111111111995,     0.33667E+01,     0.60003E+01,     0.10000E+00,     0.16667E+00,     0.33667E+01,     0.60003E+01,           2,
           1,         100,     -16.6666666666666288,       0.3333333333333335,     544.4444444444445708,     0.32667E+01,     0.60003E+01,     0.10000E+00,    -0.10000E+00,     0.32667E+01,     0.60003E+01,           2,
           1,         101,      27.7777777777777146,       0.3366666666666669,     572.2222222222222854,     0.34333E+01,     0.60003E+01,     0.10000E+00,     0.16667E+00,     0.34333E+01,     0.60003E+01,           2,
           1,         102,     -16.6666666666666288,       0.3400000000000002,     555.5555555555556566,     0.33333E+01,     0.60003E+01,     0.10000E+00,    -0.10000E+00,     0.33333E+01,     0.60003E+01,           2,
           1,         103,      27.7777777777777146,       0.3433333333333336,     583.3333333333333712,     0.35000E+01,     0.60003E+01,     0.10000E+00,     0.16667E+00,     0.35000E+01,     0.60003E+01,           2,
           1,         104,     -16.6666666666666288,       0.3466666666666670,     566.6666666666667425,     0.34000E+01,     0.60003E+01,     0.10000E+00,    -0.10000E+00,     0.34000E+01,     0.60003E+01,           2,
           1,         105,      27.7777777777777146,       0.3500000000000003,     594.4444444444444571,     0.35667E+01,     0.60004E+01,     0.10000E+00,     0.16667E+00,     0.35667E+01,     0.60004E+01,           2,
           1,         106,     -16.6666666666666288,       0.3533333333333337,     577.7777777777778283,     0.34667E+01,     0.60003E+01,     0.10000E+00,    -0.10000E+00,     0.34667E+01,     0.60003E+01,           2,
           1,         107,      27.7777777777778283,       0.3566666666666670,     605.5555555555556566,     0.36333E+01,     0.60004E+01,     0.10000E+00,     0.16667E+00,     0.36333E+01,     0.60004E+01,           2,
           1,         108,     -16.6666666666666288,       0.3600000000000004,     588.8888888888890278,     0.35333E+01,     0.60004E+01,     0.10000E+00,    -0.10000E+00,     0.35333E+01,     0.60004E+01,           2,
           1,         109,      27.7777777777777146,       0.3633333333333337,     616.6666666666667425,     0.37000E+01,     0.60004E+01,     0.10000E+00,     0.16667E+00,     0.37000E+01,     0.60004E+01,           2,
           1,         110,     -16.6666666666666288,       0.3666666666666671,     600.0000000000001137,     0.36000E+01,     0.60004E+01,     0.10000E+00,    -0.10000E+00,     0.36000E+01,     0.60004E+01,           2,
