time(s),Base-Fx(kN),Base-Fy(kN),Base-Fz(kN)
96.0,-4470.033200000002,-4849.811219999997,570.9746000000009
97.0,-967.0331460000007,21539.47399999999,1416.0199999999975
98.0,4975.368899999995,68219.91,-357.8099999999906
99.0,1835.69845,30009.200000000004,1244.2680000000069
100.0,2177.5088,30133.75000000002,45.29479999999995
101.0,645.3639499999995,3310.85702,423.05300000000034
102.0,-3813.3679899999993,-39121.13,-981.9459999999956
103.0,-121.7535909999991,-11282.676900000004,433.4410999999982
104.0,-242.01110900000037,12345.659999999998,19.398799999999397
105.0,81.87759999999992,-21824.22,-788.3220000000023
106.0,2541.5641100000003,-11190.182799999997,-1365.460000000003
107.0,-297.1547000000005,-49008.920000000006,-1681.6225999999888
108.0,-3175.886830000002,-2148.993400000001,-413.08000000000146
109.0,-345.86848000000026,28819.710000000006,-613.1565000000035
110.0,-256.5639799999997,6161.617160000002,599.7553000000051
111.0,1588.7613999999985,-7304.183149999999,419.4090000000001
112.0,2658.5118999999995,18696.92,750.4019999999925
113.0,-1985.9028000000008,-21627.059999999998,346.0654999999982
114.0,-902.8659353000002,-4401.04522,1344.3265129999997
115.0,227.14650999999907,51350.659999999996,907.4369999999967
116.0,-1783.53506,-7864.277999999999,195.9859999999987
117.0,2614.2675,-45601.38000000001,392.0179999999828
118.0,2297.1664199999987,-4992.5282,-268.10000000000036
119.0,-3630.0771199999995,22354.967000000004,-82.92200000000031
